Instance Cost Time
A 1846.0 1.5
A 1402.0 1.52
A 1583.0 1.55
A 1493.0 1.56
A 1620.0 1.58
A 1253.0 1.59
A 1833.0 1.61
A 1724.0 1.62
A 1691.0 1.66
A 1882.0 1.66
A 1784.0 1.69
A 2020.0 1.72
A 2045.0 1.73
A 2119.0 1.73
A 2077.0 1.73
A 2219.0 1.75
A 2204.0 1.77
A 2482.0 1.8
A 2647.0 1.81
A 2305.0 1.83
A 2863.0 1.83
A 3322.0 1.86
A 2510.0 1.86
A 2893.0 1.88
A 2658.0 1.91
A 2953.0 1.94
A 3773.0 1.97
P 585.0 1.97
P 349.0 1.98
P 528.0 1.98
P 414.0 2.0
P 457.0 2.02
P 915.0 2.03
P 743.0 2.03
P 978.0 2.06
P 1027.0 2.06
P 1137.0 2.08
P 1145.0 2.11
P 1302.0 2.12
P 1249.0 2.16
P 1285.0 2.17
P 1294.0 2.2
P 1391.0 2.22
P 1573.0 2.22
P 1624.0 2.23
P 1567.0 2.25
P 1608.0 2.27
P 1696.0 2.3
P 1577.0 2.33
P 1598.0 2.34
P 1807.0 2.39
CMT 1102.0 2.44
CMT 1786.0 2.45
CMT 1949.0 2.48
CMT 2829.0 2.59
CMT 4034.0 2.81
CMT 1102.0 2.88
CMT 1786.0 2.92
CMT 1949.0 3.02
CMT 2829.0 3.19
CMT 4034.0 3.39
CMT 1691.0 3.55
CMT 1378.0 3.64
CMT 1691.0 3.73
CMT 1378.0 3.8
Golden 5848.0 4.14
Golden 10061.0 4.88
Golden 16494.0 6.05
Golden 23096.0 8.08
Golden 15699.0 8.58
Golden 15649.0 9.12
Golden 16252.0 10.3
Golden 15599.0 11.86
Golden 996.0 12.48
Golden 1063.0 13.27
Golden 1307.0 14.34
Golden 1607.0 16.34
Golden 1028.0 16.94
Golden 1424.0 17.66
Golden 1662.0 18.91
Golden 2037.0 20.56
Golden 1630.0 21.0
Golden 2315.0 21.66
Golden 3201.0 22.69
Golden 4187.0 24.16
