Instance Cost Time
A 1086.0 27.61
A 1010.0 27.7
A 1057.0 27.78
A 1125.0 27.78
A 1070.0 27.8
A 1120.0 27.81
A 1452.0 27.83
A 1278.0 27.84
A 1172.0 27.88
A 1294.0 27.88
A 1268.0 27.91
A 1267.0 27.92
A 1422.0 27.97
A 1363.0 27.98
A 1481.0 28.02
A 1473.0 28.03
A 1538.0 28.05
A 1430.0 28.06
A 1622.0 28.09
A 1560.0 28.09
A 1599.0 28.09
A 2055.0 28.09
A 1950.0 28.09
A 1922.0 28.09
A 1573.0 28.09
A 1777.0 28.12
A 2398.0 28.16
P 556.0 28.16
P 341.0 28.16
P 321.0 28.19
P 390.0 28.19
P 340.0 28.19
P 707.0 28.2
P 663.0 28.22
P 699.0 28.23
P 875.0 28.25
P 809.0 28.27
P 850.0 28.27
P 1051.0 28.28
P 942.0 28.3
P 874.0 28.31
P 941.0 28.36
P 1027.0 28.41
P 1220.0 28.44
P 1024.0 28.45
P 1248.0 28.48
P 1155.0 28.5
P 1174.0 28.52
P 1153.0 28.55
P 1170.0 28.59
P 1485.0 28.66
CMT 952.0 28.72
CMT 1229.0 28.75
CMT 1493.0 28.81
CMT 1852.0 28.92
CMT 2241.0 29.09
CMT 952.0 29.11
CMT 1229.0 29.14
CMT 1493.0 29.19
CMT 1852.0 29.3
CMT 2241.0 29.47
CMT 1459.0 29.55
CMT 1141.0 29.62
CMT 1459.0 29.7
CMT 1141.0 29.8
Golden 12838.0 30.0
Golden 18931.0 30.44
Golden 31889.0 31.39
Golden 41731.0 32.7
Golden 20918.0 33.3
Golden 26681.0 33.78
Golden 27462.0 34.52
Golden 31638.0 35.66
Golden 1209.0 36.25
Golden 1559.0 36.75
Golden 1982.0 37.58
Golden 2411.0 38.89
Golden 1338.0 39.22
Golden 1696.0 39.66
Golden 2181.0 40.42
Golden 2766.0 41.69
Golden 1077.0 42.0
Golden 1520.0 42.41
Golden 2117.0 43.08
Golden 2803.0 43.94
