Instance Cost Time
A 1846.0 1.5
A 1402.0 1.52
A 1561.0 1.53
A 1537.0 1.55
A 1620.0 1.56
A 1253.0 1.59
A 1833.0 1.59
A 1692.0 1.62
A 1717.0 1.64
A 1882.0 1.66
A 1784.0 1.69
A 2020.0 1.7
A 2045.0 1.73
A 2119.0 1.73
A 2180.0 1.73
A 2219.0 1.75
A 2204.0 1.77
A 2373.0 1.8
A 2647.0 1.81
A 2305.0 1.83
A 2863.0 1.83
A 3322.0 1.86
A 2510.0 1.86
A 2893.0 1.88
A 2658.0 1.91
A 2953.0 1.94
A 3773.0 1.97
P 592.0 1.97
P 349.0 1.98
P 528.0 1.98
P 414.0 2.0
P 457.0 2.0
P 827.0 2.03
P 697.0 2.03
P 987.0 2.06
P 1027.0 2.06
P 1137.0 2.06
P 1157.0 2.09
P 1275.0 2.12
P 1249.0 2.16
P 1291.0 2.17
P 1300.0 2.2
P 1403.0 2.22
P 1555.0 2.22
P 1636.0 2.23
P 1582.0 2.25
P 1608.0 2.25
P 1696.0 2.3
P 1577.0 2.31
P 1598.0 2.34
P 1807.0 2.39
CMT 1102.0 2.44
CMT 1786.0 2.44
CMT 1949.0 2.48
CMT 2829.0 2.59
CMT 4034.0 2.8
CMT 1102.0 2.86
CMT 1786.0 2.92
CMT 1949.0 3.02
CMT 2829.0 3.19
CMT 4034.0 3.39
CMT 1691.0 3.55
CMT 1365.0 3.64
CMT 1691.0 3.73
CMT 1365.0 3.8
Golden 5848.0 4.14
Golden 10061.0 4.88
Golden 16494.0 6.05
Golden 23096.0 8.08
Golden 15699.0 8.58
Golden 15649.0 9.12
Golden 16252.0 10.28
Golden 15599.0 11.84
Golden 996.0 12.48
Golden 1063.0 13.25
Golden 1307.0 14.33
Golden 1607.0 16.34
Golden 1028.0 16.94
Golden 1406.0 17.64
Golden 1662.0 18.91
Golden 2037.0 20.55
Golden 1630.0 21.0
Golden 2315.0 21.64
Golden 3201.0 22.69
Golden 4187.0 24.14
