Instance Cost Time
A 876.0 27.67
A 763.0 27.78
A 946.0 27.78
A 1022.0 27.8
A 871.0 27.81
A 752.0 27.83
A 1070.0 27.84
A 1052.0 27.86
A 895.0 27.88
A 922.0 27.88
A 1026.0 27.91
A 1026.0 27.95
A 1261.0 27.97
A 1061.0 28.02
A 1236.0 28.02
A 1158.0 28.03
A 1260.0 28.05
A 1199.0 28.08
A 1449.0 28.09
A 1295.0 28.09
A 1389.0 28.09
A 1823.0 28.09
A 1644.0 28.09
A 1557.0 28.09
A 1321.0 28.11
A 1324.0 28.14
A 1977.0 28.16
P 583.0 28.16
P 242.0 28.17
P 240.0 28.19
P 250.0 28.19
P 249.0 28.19
P 818.0 28.2
P 677.0 28.22
P 528.0 28.25
P 551.0 28.25
P 636.0 28.27
P 737.0 28.27
P 936.0 28.28
P 842.0 28.3
P 668.0 28.34
P 788.0 28.38
P 894.0 28.41
P 1136.0 28.44
P 830.0 28.48
P 1181.0 28.48
P 920.0 28.5
P 903.0 28.52
P 631.0 28.56
P 731.0 28.61
P 757.0 28.69
CMT 609.0 28.72
CMT 929.0 28.77
CMT 938.0 28.84
CMT 1227.0 28.95
CMT 1519.0 29.11
CMT 609.0 29.11
CMT 929.0 29.14
CMT 938.0 29.2
CMT 1227.0 29.31
CMT 1519.0 29.5
CMT 1113.0 29.58
CMT 893.0 29.66
CMT 1113.0 29.73
CMT 893.0 29.81
Golden 5944.0 30.06
Golden 9096.0 30.55
Golden 12102.0 31.59
Golden 15673.0 32.94
Golden 7389.0 33.39
Golden 9522.0 33.91
Golden 11380.0 34.66
Golden 12970.0 35.88
Golden 697.0 36.31
Golden 780.0 36.86
Golden 1012.0 37.7
Golden 1223.0 39.03
Golden 1040.0 39.25
Golden 1298.0 39.7
Golden 1600.0 40.52
Golden 1972.0 41.78
Golden 774.0 42.03
Golden 1107.0 42.47
Golden 1571.0 43.12
Golden 2027.0 44.02
