Instance Cost Time
A 1348.0 1.5
A 1034.0 1.52
A 1260.0 1.55
A 1179.0 1.56
A 1268.0 1.58
A 923.0 1.59
A 1485.0 1.61
A 1372.0 1.64
A 1112.0 1.66
A 1577.0 1.67
A 1488.0 1.69
A 1649.0 1.72
A 1652.0 1.73
A 1521.0 1.73
A 1625.0 1.73
A 1727.0 1.75
A 1625.0 1.78
A 1996.0 1.8
A 2102.0 1.81
A 1716.0 1.83
A 2124.0 1.83
A 2574.0 1.86
A 2129.0 1.88
A 2302.0 1.88
A 2014.0 1.92
A 2284.0 1.94
A 2831.0 1.97
P 577.0 1.97
P 278.0 1.98
P 318.0 2.0
P 265.0 2.0
P 331.0 2.02
P 860.0 2.03
P 738.0 2.05
P 718.0 2.06
P 801.0 2.06
P 925.0 2.08
P 1004.0 2.11
P 1140.0 2.14
P 1103.0 2.16
P 1013.0 2.19
P 982.0 2.2
P 1150.0 2.22
P 1530.0 2.22
P 1282.0 2.23
P 1375.0 2.25
P 1372.0 2.28
P 1401.0 2.3
P 993.0 2.33
P 988.0 2.34
P 1149.0 2.41
CMT 779.0 2.44
CMT 1512.0 2.45
CMT 1492.0 2.5
CMT 2007.0 2.62
CMT 2943.0 2.83
CMT 779.0 2.88
CMT 1512.0 2.95
CMT 1492.0 3.03
CMT 2007.0 3.22
CMT 2943.0 3.42
CMT 1276.0 3.58
CMT 1099.0 3.66
CMT 1276.0 3.75
CMT 1099.0 3.81
Golden 5847.0 4.22
Golden 10061.0 5.0
Golden 14634.0 6.25
Golden 20058.0 8.27
Golden 10239.0 8.66
Golden 13204.0 9.33
Golden 15112.0 10.45
Golden 14452.0 12.02
Golden 748.0 12.53
Golden 878.0 13.33
Golden 1115.0 14.44
Golden 1368.0 16.45
Golden 1027.0 16.98
Golden 1372.0 17.72
Golden 1660.0 18.97
Golden 2026.0 20.64
Golden 1268.0 21.05
Golden 1883.0 21.69
Golden 2602.0 22.75
Golden 3423.0 24.22
