Instance Cost Time
A 1034.0 27.61
A 981.0 27.7
A 996.0 27.78
A 1008.0 27.78
A 1057.0 27.8
A 1012.0 27.81
A 1408.0 27.83
A 1082.0 27.84
A 1150.0 27.86
A 1231.0 27.88
A 1268.0 27.89
A 1267.0 27.91
A 1422.0 27.95
A 1363.0 27.97
A 1481.0 28.02
A 1473.0 28.03
A 1538.0 28.03
A 1392.0 28.06
A 1622.0 28.09
A 1525.0 28.09
A 1599.0 28.09
A 2055.0 28.09
A 1715.0 28.09
A 1922.0 28.09
A 1573.0 28.09
A 1777.0 28.11
A 2349.0 28.14
P 493.0 28.16
P 304.0 28.16
P 331.0 28.17
P 331.0 28.19
P 340.0 28.19
P 682.0 28.2
P 629.0 28.22
P 699.0 28.22
P 875.0 28.25
P 766.0 28.25
P 823.0 28.27
P 913.0 28.27
P 926.0 28.3
P 834.0 28.3
P 832.0 28.34
P 891.0 28.39
P 1068.0 28.42
P 1024.0 28.44
P 1172.0 28.48
P 1148.0 28.48
P 1174.0 28.5
P 1153.0 28.52
P 1170.0 28.58
P 1485.0 28.62
CMT 952.0 28.72
CMT 1229.0 28.72
CMT 1493.0 28.78
CMT 1852.0 28.86
CMT 2241.0 28.97
CMT 952.0 29.11
CMT 1229.0 29.11
CMT 1493.0 29.16
CMT 1852.0 29.22
CMT 2241.0 29.33
CMT 1459.0 29.52
CMT 1111.0 29.59
CMT 1459.0 29.67
CMT 1111.0 29.77
Golden 12838.0 29.81
Golden 18931.0 30.09
Golden 31889.0 30.66
Golden 41731.0 31.78
Golden 20918.0 33.17
Golden 26681.0 33.47
Golden 27462.0 34.02
Golden 31638.0 34.81
Golden 1125.0 36.02
Golden 1520.0 36.34
Golden 1938.0 36.92
Golden 2367.0 37.81
Golden 1319.0 39.09
Golden 1644.0 39.27
Golden 2114.0 39.73
Golden 2701.0 40.56
Golden 1077.0 41.81
Golden 1520.0 42.06
Golden 2117.0 42.5
Golden 2803.0 43.16
