Instance Cost Time
A 1822.0 1.5
A 1426.0 1.5
A 1431.0 1.53
A 1640.0 1.55
A 1611.0 1.56
A 1305.0 1.58
A 1598.0 1.59
A 1641.0 1.62
A 1710.0 1.64
A 1871.0 1.66
A 1809.0 1.67
A 2020.0 1.7
A 2127.0 1.72
A 2119.0 1.73
A 2012.0 1.73
A 2219.0 1.73
A 2280.0 1.77
A 2431.0 1.78
A 2685.0 1.8
A 2234.0 1.81
A 2735.0 1.83
A 3345.0 1.84
A 2580.0 1.86
A 2830.0 1.88
A 2645.0 1.89
A 2953.0 1.92
A 3514.0 1.95
P 575.0 1.97
P 318.0 1.97
P 445.0 1.98
P 382.0 2.0
P 413.0 2.0
P 772.0 2.03
P 717.0 2.03
P 934.0 2.05
P 983.0 2.06
P 1137.0 2.06
P 1103.0 2.08
P 1264.0 2.12
P 1253.0 2.14
P 1263.0 2.16
P 1276.0 2.19
P 1332.0 2.2
P 1560.0 2.22
P 1565.0 2.23
P 1551.0 2.23
P 1575.0 2.25
P 1675.0 2.28
P 1541.0 2.3
P 1597.0 2.33
P 1807.0 2.36
CMT 1075.0 2.42
CMT 1765.0 2.44
CMT 1949.0 2.45
CMT 2829.0 2.52
CMT 4034.0 2.64
CMT 1075.0 2.84
CMT 1765.0 2.89
CMT 1949.0 2.95
CMT 2829.0 3.05
CMT 4034.0 3.23
CMT 1691.0 3.45
CMT 1350.0 3.59
CMT 1691.0 3.67
CMT 1350.0 3.75
Golden 5848.0 3.81
Golden 10061.0 4.23
Golden 16494.0 5.02
Golden 23096.0 6.34
Golden 15699.0 8.38
Golden 15649.0 8.73
Golden 16252.0 9.42
Golden 15599.0 10.53
Golden 806.0 12.09
Golden 1032.0 12.56
Golden 1234.0 13.38
Golden 1607.0 14.48
Golden 1028.0 16.52
Golden 1362.0 17.0
Golden 1662.0 17.73
Golden 1997.0 18.97
Golden 1628.0 20.66
Golden 2313.0 21.06
Golden 3199.0 21.7
Golden 4185.0 22.78
