Instance Cost Time
A-n32-k05.xml 1034.0 20.75
A-n33-k05.xml 981.0 20.75
A-n33-k06.xml 996.0 20.75
A-n34-k05.xml 1008.0 20.75
A-n36-k05.xml 1057.0 20.75
A-n37-k05.xml 1012.0 20.77
A-n37-k06.xml 1408.0 20.77
A-n38-k05.xml 1082.0 20.77
A-n39-k05.xml 1150.0 20.77
A-n39-k06.xml 1231.0 20.78
A-n44-k06.xml 1268.0 20.78
A-n45-k06.xml 1267.0 20.78
A-n45-k07.xml 1422.0 20.8
A-n46-k07.xml 1363.0 20.8
A-n48-k07.xml 1481.0 20.8
A-n53-k07.xml 1473.0 20.8
A-n54-k07.xml 1538.0 20.81
A-n55-k09.xml 1392.0 20.83
A-n60-k09.xml 1622.0 20.83
A-n61-k09.xml 1525.0 20.83
A-n62-k08.xml 1599.0 20.84
A-n63-k09.xml 2055.0 20.84
A-n63-k10.xml 1715.0 20.88
A-n64-k09.xml 1922.0 20.88
A-n65-k09.xml 1573.0 20.89
A-n69-k09.xml 1777.0 20.89
A-n80-k10.xml 2349.0 20.91
P-n016-k08.xml 493.0 20.92
P-n019-k02.xml 304.0 20.92
P-n020-k02.xml 331.0 20.92
P-n021-k02.xml 331.0 20.94
P-n022-k02.xml 340.0 20.94
P-n022-k08.xml 682.0 20.94
P-n023-k08.xml 629.0 20.94
P-n040-k05.xml 699.0 20.94
P-n045-k05.xml 875.0 20.94
P-n050-k07.xml 766.0 20.94
P-n050-k08.xml 823.0 20.95
P-n050-k10.xml 913.0 20.95
P-n051-k10.xml 926.0 20.97
P-n055-k07.xml 834.0 20.97
P-n055-k08.xml 832.0 20.98
P-n055-k10.xml 891.0 20.98
P-n055-k15.xml 1068.0 20.98
P-n060-k10.xml 1024.0 21.0
P-n060-k15.xml 1172.0 21.0
P-n065-k10.xml 1148.0 21.02
P-n070-k10.xml 1174.0 21.02
P-n076-k04.xml 1153.0 21.05
P-n076-k05.xml 1170.0 21.06
P-n101-k04.xml 1485.0 21.06
CMT01.xml 952.0 21.09
CMT02.xml 1229.0 21.09
CMT03.xml 1493.0 21.11
CMT04.xml 1852.0 21.14
CMT05.xml 2241.0 21.19
CMT06.xml 952.0 21.33
CMT07.xml 1229.0 21.33
CMT08.xml 1493.0 21.34
CMT09.xml 1852.0 21.36
CMT10.xml 2241.0 21.45
CMT11.xml 1459.0 21.56
CMT12.xml 1111.0 21.58
CMT13.xml 1459.0 21.61
CMT14.xml 1111.0 21.62
Golden_01.xml 12838.0 21.66
Golden_02.xml 18931.0 21.81
Golden_03.xml 31889.0 22.2
Golden_04.xml 41731.0 22.86
Golden_05.xml 20918.0 23.94
Golden_06.xml 26681.0 24.06
Golden_07.xml 27462.0 24.33
Golden_08.xml 31638.0 24.8
Golden_09.xml 1125.0 25.66
Golden_10.xml 1520.0 25.84
Golden_11.xml 1938.0 26.23
Golden_12.xml 2367.0 26.89
Golden_13.xml 1319.0 27.84
Golden_14.xml 1644.0 28.06
Golden_15.xml 2114.0 28.44
Golden_16.xml 2701.0 29.11
Golden_17.xml 1077.0 30.22
Golden_18.xml 1520.0 30.41
Golden_19.xml 2117.0 30.72
Golden_20.xml 2803.0 31.22
