Instance Cost Time
A-n32-k05.xml 1822.0 1.58
A-n33-k05.xml 1426.0 1.58
A-n33-k06.xml 1431.0 1.58
A-n34-k05.xml 1640.0 1.59
A-n36-k05.xml 1611.0 1.59
A-n37-k05.xml 1305.0 1.61
A-n37-k06.xml 1598.0 1.61
A-n38-k05.xml 1641.0 1.61
A-n39-k05.xml 1710.0 1.62
A-n39-k06.xml 1871.0 1.62
A-n44-k06.xml 1809.0 1.62
A-n45-k06.xml 2020.0 1.64
A-n45-k07.xml 2127.0 1.64
A-n46-k07.xml 2119.0 1.66
A-n48-k07.xml 2012.0 1.67
A-n53-k07.xml 2219.0 1.67
A-n54-k07.xml 2280.0 1.67
A-n55-k09.xml 2431.0 1.69
A-n60-k09.xml 2685.0 1.7
A-n61-k09.xml 2234.0 1.72
A-n62-k08.xml 2735.0 1.73
A-n63-k09.xml 3345.0 1.77
A-n63-k10.xml 2580.0 1.77
A-n64-k09.xml 2830.0 1.78
A-n65-k09.xml 2645.0 1.8
A-n69-k09.xml 2953.0 1.83
A-n80-k10.xml 3514.0 1.84
P-n016-k08.xml 575.0 1.84
P-n019-k02.xml 318.0 1.84
P-n020-k02.xml 445.0 1.86
P-n021-k02.xml 382.0 1.86
P-n022-k02.xml 413.0 1.86
P-n022-k08.xml 772.0 1.86
P-n023-k08.xml 717.0 1.86
P-n040-k05.xml 934.0 1.86
P-n045-k05.xml 983.0 1.86
P-n050-k07.xml 1137.0 1.89
P-n050-k08.xml 1103.0 1.89
P-n050-k10.xml 1264.0 1.91
P-n051-k10.xml 1253.0 1.91
P-n055-k07.xml 1263.0 1.92
P-n055-k08.xml 1276.0 1.94
P-n055-k10.xml 1332.0 1.95
P-n055-k15.xml 1560.0 1.97
P-n060-k10.xml 1565.0 1.97
P-n060-k15.xml 1551.0 1.97
P-n065-k10.xml 1575.0 1.97
P-n070-k10.xml 1675.0 1.98
P-n076-k04.xml 1541.0 1.98
P-n076-k05.xml 1597.0 2.02
P-n101-k04.xml 1807.0 2.03
CMT01.xml 1075.0 2.08
CMT02.xml 1765.0 2.11
CMT03.xml 1949.0 2.12
CMT04.xml 2829.0 2.17
CMT05.xml 4034.0 2.31
CMT06.xml 1075.0 2.53
CMT07.xml 1765.0 2.55
CMT08.xml 1949.0 2.56
CMT09.xml 2829.0 2.62
CMT10.xml 4034.0 2.72
CMT11.xml 1691.0 2.95
CMT12.xml 1350.0 3.02
CMT13.xml 1691.0 3.06
CMT14.xml 1350.0 3.12
Golden_01.xml 5848.0 3.17
Golden_02.xml 10061.0 3.47
Golden_03.xml 16494.0 4.09
Golden_04.xml 23096.0 5.17
Golden_05.xml 15699.0 6.91
Golden_06.xml 15649.0 7.12
Golden_07.xml 16252.0 7.56
Golden_08.xml 15599.0 8.28
Golden_09.xml 806.0 9.59
Golden_10.xml 1032.0 9.97
Golden_11.xml 1234.0 10.67
Golden_12.xml 1607.0 11.84
Golden_13.xml 1028.0 13.72
Golden_14.xml 1362.0 14.08
Golden_15.xml 1662.0 14.73
Golden_16.xml 1997.0 15.88
Golden_17.xml 1628.0 17.7
Golden_18.xml 2313.0 18.03
Golden_19.xml 3199.0 18.59
Golden_20.xml 4185.0 19.45
